SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
7C4922 QFA1     VH-OQC   A388 40000 33325 08/03/2015 06:46:05
405BFE BAW138   G-YMMU   B772 38000 31650 08/03/2015 06:46:17
06A044 QTR009   A7-AGB   A346 36000 30000 08/03/2015 06:46:25
A2E45C AWE716   N286AY   A332 40000 39000 08/03/2015 06:46:34
896306 UAE21    A6-END   B77W 36000 36000 08/03/2015 06:46:58
80071E JAI228   VT-JWR   A333 5475  0     08/03/2015 06:47:36
A4E7C9 GTI8339  N415MC   B744 27450 37975 08/03/2015 06:48:36
4844E7 KLM672   PH-AOK   A332 18625 16175 08/03/2015 06:48:48
3C496B BER540W  D-ABKK   B738 25000 36050 08/03/2015 06:48:52
44A88C JAF602   OO-JDL   B788 25075 0     08/03/2015 06:49:02
896182 UAE7     A6-EEC   A388 40000 32925 08/03/2015 06:49:20
4CA2C2 RYR664Z  EI-DLE   B738 25675 35000 08/03/2015 06:49:22
76CEEC SIA328   9V-SWL   B77W 36000 36000 08/03/2015 06:50:04
44CDC4 BEL8VJ   OO-SND   A320 300   18200 08/03/2015 06:50:20
8961E7 ETD57    A6-EYS   A332 6000  0     08/03/2015 06:50:35
44A833 -------- OO-JAS   B737 10525 10525 08/03/2015 06:51:32
471F5A WZZ1FA   HA-LWS   A320 37975 25075 08/03/2015 06:52:21
A86E6C UAL2096  N642UA   B763 22975 0     08/03/2015 06:52:21
4CA61E RYR118F  EI-DWR   B738 6800  12475 08/03/2015 06:52:22
AB8FD0 DAL86    N844MH   B764 34975 24775 08/03/2015 06:53:05
440BB8 AUA72    OE-LAX   B763 35000 35000 08/03/2015 06:54:27
4CAA5B -------- EI-EVW   B738 9850  9850  08/03/2015 06:55:17
8963A7 ETD103   A6-JAA   B77W 31975 31975 08/03/2015 06:55:19
440060 AUA66    OE-LAE   B763 36000 37000 08/03/2015 06:55:22
484395 TRA35F   PH-XRE   B737 10475 40975 08/03/2015 06:55:29
471F52 WZZ2     HA-LWK   A320 36000 21625 08/03/2015 06:56:50
A120F3 DAL116   N172DN   B763 37000 37000 08/03/2015 06:57:17
A1373D DAL42    N178DN   B763 23000 75    08/03/2015 06:58:03
44A8A2 JAF7847  OO-JEB   E190 8950  17400 08/03/2015 06:58:23
3986ED AFR1725  F-HBXN   E170 36000 29100 08/03/2015 06:58:41
AA9600 UAL989   N781UA   B772 35975 27675 08/03/2015 06:59:33
4CA2A7 RYR51YF  EI-DHS   B738 12800 24075 08/03/2015 07:00:04
3944E7 AFR061E  F-GRHH   A319 38000 30150 08/03/2015 07:00:33
484B02 KLM1721  PH-KZU   F70  10275 -150  08/03/2015 07:00:54
A8AFEC UAL946   N659UA   B763 19725 15975 08/03/2015 07:00:58
AB4840 DAL140   N826MH   B764 16575 13450 08/03/2015 07:01:05
4845EB TFL460   PH-TFA   B738 36200 7650  08/03/2015 07:01:25
AAF1FA DAL124   N804NW   A333 15875 13375 08/03/2015 07:02:55
A97C65 DAL72    N710DN   B77L 16975 15975 08/03/2015 07:03:19
3C4ACB DLH471   D-ABVK   B744 39000 27700 08/03/2015 07:03:20
4CA9C3 RYR23CE  EI-EVC   B738 10075 26375 08/03/2015 07:03:41
484B00 KLM1853  PH-KZS   F70  10475 1700  08/03/2015 07:04:31
4CA894 RYR355R  EI-ENH   B738 11575 36700 08/03/2015 07:04:41
4CA6A4 RYR2145  EI-DYO   B738 38000 24400 08/03/2015 07:05:07
